y_m,c_m,alpha_deg,beta_deg,mach_nd,cn_sec_nd,cm_sec_nd,cc_sec_nd
-13.17,1.5,6.0,0.0,0.8,1.133333,-0.08,0.110466
-13.17,1.5,6.0,5.0,0.3,0.712834,-0.068869,0.066511
-13.17,1.5,6.0,5.0,0.5,0.785196,-0.070785,0.074075
-13.17,1.5,6.0,5.0,0.65,0.894814,-0.073686,0.085534
-13.17,1.5,6.0,5.0,0.72,0.979864,-0.075938,0.094424
-13.17,1.5,6.0,5.0,0.8,1.133333,-0.08,0.110466
-13.17,1.5,6.0,10.0,0.3,0.712834,-0.068869,0.066511
-13.17,1.5,6.0,10.0,0.5,0.785196,-0.070785,0.074075
-13.17,1.5,6.0,10.0,0.65,0.894814,-0.073686,0.085534
-13.17,1.5,6.0,10.0,0.72,0.979864,-0.075938,0.094424
-13.17,1.5,6.0,10.0,0.8,1.133333,-0.08,0.110466
-13.17,1.5,9.0,-10.0,0.3,0.980146,-0.078304,0.145329
-13.17,1.5,9.0,-10.0,0.5,1.079645,-0.081177,0.160894
-13.17,1.5,9.0,-10.0,0.65,1.23037,-0.085529,0.184472
-13.17,1.5,9.0,-10.0,0.72,1.347313,-0.088906,0.202766
-13.17,1.5,9.0,-10.0,0.8,1.558333,-0.095,0.235777
-13.17,1.5,9.0,-5.0,0.3,0.980146,-0.078304,0.145329
-13.17,1.5,9.0,-5.0,0.5,1.079645,-0.081177,0.160894
-13.17,1.5,9.0,-5.0,0.65,1.23037,-0.085529,0.184472
-13.17,1.5,9.0,-5.0,0.72,1.347313,-0.088906,0.202766
-13.17,1.5,9.0,-5.0,0.8,1.558333,-0.095,0.235777
-13.17,1.5,9.0,0.0,0.3,0.980146,-0.078304,0.145329
-13.17,1.5,9.0,0.0,0.5,1.079645,-0.081177,0.160894
-13.17,1.5,9.0,0.0,0.65,1.23037,-0.085529,0.184472
-13.17,1.5,9.0,0.0,0.72,1.347313,-0.088906,0.202766
-13.17,1.5,9.0,0.0,0.8,1.558333,-0.095,0.235777
-13.17,1.5,9.0,5.0,0.3,0.980146,-0.078304,0.145329
-13.17,1.5,9.0,5.0,0.5,1.079645,-0.081177,0.160894
-13.17,1.5,9.0,5.0,0.65,1.23037,-0.085529,0.184472
-13.17,1.5,9.0,5.0,0.72,1.347313,-0.088906,0.202766
-13.17,1.5,9.0,5.0,0.8,1.558333,-0.095,0.235777
-13.17,1.5,9.0,10.0,0.3,0.980146,-0.078304,0.145329
-13.17,1.5,9.0,10.0,0.5,1.079645,-0.081177,0.160894
-13.17,1.5,9.0,10.0,0.65,1.23037,-0.085529,0.184472
-13.17,1.5,9.0,10.0,0.72,1.347313,-0.088906,0.202766
-13.17,1.5,9.0,10.0,0.8,1.558333,-0.095,0.235777
-13.17,1.5,12.0,-10.0,0.3,1.247459,-0.087738,0.251361
-13.17,1.5,12.0,-10.0,0.5,1.374094,-0.091569,0.27769
-13.17,1.5,12.0,-10.0,0.65,1.565925,-0.097373,0.317574
-13.17,1.5,12.0,-10.0,0.72,1.714761,-0.101875,0.348519
-13.17,1.5,12.0,-10.0,0.8,1.983333,-0.11,0.404358
-13.17,1.5,12.0,-5.0,0.3,1.247459,-0.087738,0.251361
-13.17,1.5,12.0,-5.0,0.5,1.374094,-0.091569,0.27769
-13.17,1.5,12.0,-5.0,0.65,1.565925,-0.097373,0.317574
-13.17,1.5,12.0,-5.0,0.72,1.714761,-0.101875,0.348519
-13.17,1.5,12.0,-5.0,0.8,1.983333,-0.11,0.404358
-13.17,1.5,12.0,0.0,0.3,1.247459,-0.087738,0.251361
-13.17,1.5,12.0,0.0,0.5,1.374094,-0.091569,0.27769
-13.17,1.5,12.0,0.0,0.65,1.565925,-0.097373,0.317574
-13.17,1.5,12.0,0.0,0.72,1.714761,-0.101875,0.348519
-13.17,1.5,12.0,0.0,0.8,1.983333,-0.11,0.404358
-13.17,1.5,12.0,5.0,0.3,1.247459,-0.087738,0.251361
-13.17,1.5,12.0,5.0,0.5,1.374094,-0.091569,0.27769
-13.17,1.5,12.0,5.0,0.65,1.565925,-0.097373,0.317574
-13.17,1.5,12.0,5.0,0.72,1.714761,-0.101875,0.348519
-13.17,1.5,12.0,5.0,0.8,1.983333,-0.11,0.404358
-13.17,1.5,12.0,10.0,0.3,1.247459,-0.087738,0.251361
-13.17,1.5,12.0,10.0,0.5,1.374094,-0.091569,0.27769
-13.17,1.5,12.0,10.0,0.65,1.565925,-0.097373,0.317574
-13.17,1.5,12.0,10.0,0.72,1.714761,-0.101875,0.348519
-13.17,1.5,12.0,10.0,0.8,1.983333,-0.11,0.404358
-13.17,1.5,15.0,-10.0,0.3,1.514772,-0.097173,0.384052
-13.17,1.5,15.0,-10.0,0.5,1.668542,-0.101962,0.423851
-13.17,1.5,15.0,-10.0,0.65,1.90148,-0.109216,0.484139
-13.17,1.5,15.0,-10.0,0.72,2.08221,-0.114844,0.530916
-13.17,1.5,15.0,-10.0,0.8,2.408333,-0.125,0.615323
-13.17,1.5,15.0,-5.0,0.3,1.514772,-0.097173,0.384052
-13.17,1.5,15.0,-5.0,0.5,1.668542,-0.101962,0.423851
-13.17,1.5,15.0,-5.0,0.65,1.90148,-0.109216,0.484139
-13.17,1.5,15.0,-5.0,0.72,2.08221,-0.114844,0.530916
-13.17,1.5,15.0,-5.0,0.8,2.408333,-0.125,0.615323
-13.17,1.5,15.0,0.0,0.3,1.514772,-0.097173,0.384052
-13.17,1.5,15.0,0.0,0.5,1.668542,-0.101962,0.423851
-13.17,1.5,15.0,0.0,0.65,1.90148,-0.109216,0.484139
-13.17,1.5,15.0,0.0,0.72,2.08221,-0.114844,0.530916
-13.17,1.5,15.0,0.0,0.8,2.408333,-0.125,0.615323
-13.17,1.5,15.0,5.0,0.3,1.514772,-0.097173,0.384052
-13.17,1.5,15.0,5.0,0.5,1.668542,-0.101962,0.423851
-13.17,1.5,15.0,5.0,0.65,1.90148,-0.109216,0.484139
-13.17,1.5,15.0,5.0,0.72,2.08221,-0.114844,0.530916
-13.17,1.5,15.0,5.0,0.8,2.408333,-0.125,0.615323
-13.17,1.5,15.0,10.0,0.3,1.514772,-0.097173,0.384052
-13.17,1.5,15.0,10.0,0.5,1.668542,-0.101962,0.423851
-13.17,1.5,15.0,10.0,0.65,1.90148,-0.109216,0.484139
-13.17,1.5,15.0,10.0,0.72,2.08221,-0.114844,0.530916
-13.17,1.5,15.0,10.0,0.8,2.408333,-0.125,0.615323
-11.707,1.777715,-6.0,-10.0,0.3,-0.363404,-0.031131,0.029986
-11.707,1.777715,-6.0,-10.0,0.5,-0.400294,-0.029215,0.033842
-11.707,1.777715,-6.0,-10.0,0.65,-0.456178,-0.026314,0.039684
-11.707,1.777715,-6.0,-10.0,0.72,-0.499536,-0.024062,0.044216
-11.707,1.777715,-6.0,-10.0,0.8,-0.577775,-0.02,0.052394
-11.707,1.777715,-6.0,-5.0,0.3,-0.363404,-0.031131,0.029986
-11.707,1.777715,-6.0,-5.0,0.5,-0.400294,-0.029215,0.033842
-11.707,1.777715,-6.0,-5.0,0.65,-0.456178,-0.026314,0.039684
-11.707,1.777715,-6.0,-5.0,0.72,-0.499536,-0.024062,0.044216
-11.707,1.777715,-6.0,-5.0,0.8,-0.577775,-0.02,0.052394
-11.707,1.777715,-6.0,0.0,0.3,-0.363404,-0.031131,0.029986
-11.707,1.777715,-6.0,0.0,0.5,-0.400294,-0.029215,0.033842
-11.707,1.777715,-6.0,0.0,0.65,-0.456178,-0.026314,0.039684
-11.707,1.777715,-6.0,0.0,0.72,-0.499536,-0.024062,0.044216
-11.707,1.777715,-6.0,0.0,0.8,-0.577775,-0.02,0.052394
-11.707,1.777715,-6.0,5.0,0.3,-0.363404,-0.031131,0.029986
-11.707,1.777715,-6.0,5.0,0.5,-0.400294,-0.029215,0.033842
-11.707,1.777715,-6.0,5.0,0.65,-0.456178,-0.026314,0.039684
-11.707,1.777715,-6.0,5.0,0.72,-0.499536,-0.024062,0.044216
-11.707,1.777715,-6.0,5.0,0.8,-0.577775,-0.02,0.052394
-11.707,1.777715,-6.0,10.0,0.3,-0.363404,-0.031131,0.029986
-11.707,1.777715,-6.0,10.0,0.5,-0.400294,-0.029215,0.033842
-11.707,1.777715,-6.0,10.0,0.65,-0.456178,-0.026314,0.039684
-11.707,1.777715,-6.0,10.0,0.72,-0.499536,-0.024062,0.044216
-11.707,1.777715,-6.0,10.0,0.8,-0.577775,-0.02,0.052394
-11.707,1.777715,-3.0,-10.0,0.3,-0.090851,-0.040565,-0.003245
-11.707,1.777715,-3.0,-10.0,0.5,-0.100074,-0.039608,-0.002763
-11.707,1.777715,-3.0,-10.0,0.65,-0.114044,-0.038157,-0.002031
-11.707,1.777715,-3.0,-10.0,0.72,-0.124884,-0.037031,-0.001464
-11.707,1.777715,-3.0,-10.0,0.8,-0.144444,-0.035,-0.00044
-11.707,1.777715,-3.0,-5.0,0.3,-0.090851,-0.040565,-0.003245
-11.707,1.777715,-3.0,-5.0,0.5,-0.100074,-0.039608,-0.002763
-11.707,1.777715,-3.0,-5.0,0.65,-0.114044,-0.038157,-0.002031
-11.707,1.777715,-3.0,-5.0,0.72,-0.124884,-0.037031,-0.001464
-11.707,1.777715,-3.0,-5.0,0.8,-0.144444,-0.035,-0.00044
-11.707,1.777715,-3.0,0.0,0.3,-0.090851,-0.040565,-0.003245
-11.707,1.777715,-3.0,0.0,0.5,-0.100074,-0.039608,-0.002763
-11.707,1.777715,-3.0,0.0,0.65,-0.114044,-0.038157,-0.002031
-11.707,1.777715,-3.0,0.0,0.72,-0.124884,-0.037031,-0.001464
-11.707,1.777715,-3.0,0.0,0.8,-0.144444,-0.035,-0.00044
-11.707,1.777715,-3.0,5.0,0.3,-0.090851,-0.040565,-0.003245
-11.707,1.777715,-3.0,5.0,0.5,-0.100074,-0.039608,-0.002763
-11.707,1.777715,-3.0,5.0,0.65,-0.114044,-0.038157,-0.002031
-11.707,1.777715,-3.0,5.0,0.72,-0.124884,-0.037031,-0.001464
-11.707,1.777715,-3.0,5.0,0.8,-0.144444,-0.035,-0.00044
-11.707,1.777715,-3.0,10.0,0.3,-0.090851,-0.040565,-0.003245
-11.707,1.777715,-3.0,10.0,0.5,-0.100074,-0.039608,-0.002763
-11.707,1.777715,-3.0,10.0,0.65,-0.114044,-0.038157,-0.002031
-11.707,1.777715,-3.0,10.0,0.72,-0.124884,-0.037031,-0.001464
-11.707,1.777715,-3.0,10.0,0.8,-0.144444,-0.035,-0.00044
-11.707,1.777715,0.0,-10.0,0.3,0.181702,-0.05,-0.008
-11.707,1.777715,0.0,-10.0,0.5,0.200147,-0.05,-0.008
-11.707,1.777715,0.0,-10.0,0.65,0.228089,-0.05,-0.008
-11.707,1.777715,0.0,-10.0,0.72,0.249768,-0.05,-0.008
-11.707,1.777715,0.0,-10.0,0.8,0.288888,-0.05,-0.008
-11.707,1.777715,0.0,-5.0,0.3,0.181702,-0.05,-0.008
-11.707,1.777715,0.0,-5.0,0.5,0.200147,-0.05,-0.008
-11.707,1.777715,0.0,-5.0,0.65,0.228089,-0.05,-0.008
-11.707,1.777715,0.0,-5.0,0.72,0.249768,-0.05,-0.008
-11.707,1.777715,0.0,-5.0,0.8,0.288888,-0.05,-0.008
-11.707,1.777715,0.0,0.0,0.3,0.181702,-0.05,-0.008
-11.707,1.777715,0.0,0.0,0.5,0.200147,-0.05,-0.008
-11.707,1.777715,0.0,0.0,0.65,0.228089,-0.05,-0.008
-11.707,1.777715,0.0,0.0,0.72,0.249768,-0.05,-0.008
-11.707,1.777715,0.0,0.0,0.8,0.288888,-0.05,-0.008
-11.707,1.777715,0.0,5.0,0.3,0.181702,-0.05,-0.008
-11.707,1.777715,0.0,5.0,0.5,0.200147,-0.05,-0.008
-11.707,1.777715,0.0,5.0,0.65,0.228089,-0.05,-0.008
-11.707,1.777715,0.0,5.0,0.72,0.249768,-0.05,-0.008
-11.707,1.777715,0.0,5.0,0.8,0.288888,-0.05,-0.008
-11.707,1.777715,0.0,10.0,0.3,0.181702,-0.05,-0.008
-11.707,1.777715,0.0,10.0,0.5,0.200147,-0.05,-0.008
-11.707,1.777715,0.0,10.0,0.65,0.228089,-0.05,-0.008
-11.707,1.777715,0.0,10.0,0.72,0.249768,-0.05,-0.008
-11.707,1.777715,0.0,10.0,0.8,0.288888,-0.05,-0.008
-11.707,1.777715,3.0,-10.0,0.3,0.454255,-0.059435,0.015774
-11.707,1.777715,3.0,-10.0,0.5,0.500368,-0.060392,0.018187
-11.707,1.777715,3.0,-10.0,0.65,0.570222,-0.061843,0.021843
-11.707,1.777715,3.0,-10.0,0.72,0.62442,-0.062969,0.02468
-11.707,1.777715,3.0,-10.0,0.8,0.722219,-0.065,0.029798
-11.707,1.777715,3.0,-5.0,0.3,0.454255,-0.059435,0.015774
-11.707,1.777715,3.0,-5.0,0.5,0.500368,-0.060392,0.018187
-11.707,1.777715,3.0,-5.0,0.65,0.570222,-0.061843,0.021843
-11.707,1.777715,3.0,-5.0,0.72,0.62442,-0.062969,0.02468
-11.707,1.777715,3.0,-5.0,0.8,0.722219,-0.065,0.029798
-11.707,1.777715,3.0,0.0,0.3,0.454255,-0.059435,0.015774
-11.707,1.777715,3.0,0.0,0.5,0.500368,-0.060392,0.018187
-11.707,1.777715,3.0,0.0,0.65,0.570222,-0.061843,0.021843
-11.707,1.777715,3.0,0.0,0.72,0.62442,-0.062969,0.02468
-11.707,1.777715,3.0,0.0,0.8,0.722219,-0.065,0.029798
-11.707,1.777715,3.0,5.0,0.3,0.454255,-0.059435,0.015774
-11.707,1.777715,3.0,5.0,0.5,0.500368,-0.060392,0.018187
-11.707,1.777715,3.0,5.0,0.65,0.570222,-0.061843,0.021843
-11.707,1.777715,3.0,5.0,0.72,0.62442,-0.062969,0.02468
-11.707,1.777715,3.0,5.0,0.8,0.722219,-0.065,0.029798
-11.707,1.777715,3.0,10.0,0.3,0.454255,-0.059435,0.015774
-11.707,1.777715,3.0,10.0,0.5,0.500368,-0.060392,0.018187
-11.707,1.777715,3.0,10.0,0.65,0.570222,-0.061843,0.021843
-11.707,1.777715,3.0,10.0,0.72,0.62442,-0.062969,0.02468
-11.707,1.777715,3.0,10.0,0.8,0.722219,-0.065,0.029798
-11.707,1.777715,6.0,-10.0,0.3,0.726808,-0.068869,0.067972
-11.707,1.777715,6.0,-10.0,0.5,0.800589,-0.070785,0.075684
-11.707,1.777715,6.0,-10.0,0.65,0.912356,-0.073686,0.087367
-11.707,1.777715,6.0,-10.0,0.72,0.999072,-0.075938,0.096431
-11.707,1.777715,6.0,-10.0,0.8,1.15555,-0.08,0.112788
-11.707,1.777715,6.0,-5.0,0.3,0.726808,-0.068869,0.067972
-11.707,1.777715,6.0,-5.0,0.5,0.800589,-0.070785,0.075684
-11.707,1.777715,6.0,-5.0,0.65,0.912356,-0.073686,0.087367
-11.707,1.777715,6.0,-5.0,0.72,0.999072,-0.075938,0.096431
-11.707,1.777715,6.0,-5.0,0.8,1.15555,-0.08,0.112788
-11.707,1.777715,6.0,0.0,0.3,0.726808,-0.068869,0.067972
-11.707,1.777715,6.0,0.0,0.5,0.800589,-0.070785,0.075684
-11.707,1.777715,6.0,0.0,0.65,0.912356,-0.073686,0.087367
-11.707,1.777715,6.0,0.0,0.72,0.999072,-0.075938,0.096431
-11.707,1.777715,6.0,0.0,0.8,1.15555,-0.08,0.112788
-11.707,1.777715,6.0,5.0,0.3,0.726808,-0.068869,0.067972
-11.707,1.777715,6.0,5.0,0.5,0.800589,-0.070785,0.075684
-11.707,1.777715,6.0,5.0,0.65,0.912356,-0.073686,0.087367
-11.707,1.777715,6.0,5.0,0.72,0.999072,-0.075938,0.096431
-11.707,1.777715,6.0,5.0,0.8,1.15555,-0.08,0.112788
-11.707,1.777715,6.0,10.0,0.3,0.726808,-0.068869,0.067972
-11.707,1.777715,6.0,10.0,0.5,0.800589,-0.070785,0.075684
-11.707,1.777715,6.0,10.0,0.65,0.912356,-0.073686,0.087367
-11.707,1.777715,6.0,10.0,0.72,0.999072,-0.075938,0.096431
-11.707,1.777715,6.0,10.0,0.8,1.15555,-0.08,0.112788
-11.707,1.777715,9.0,-10.0,0.3,0.99936,-0.078304,0.148334
-11.707,1.777715,9.0,-10.0,0.5,1.10081,-0.081177,0.164205
-11.707,1.777715,9.0,-10.0,0.65,1.254489,-0.085529,0.188245
-11.707,1.777715,9.0,-10.0,0.72,1.373724,-0.088906,0.206898
-11.707,1.777715,9.0,-10.0,0.8,1.588882,-0.095,0.240556
-11.707,1.777715,9.0,-5.0,0.3,0.99936,-0.078304,0.148334
-11.707,1.777715,9.0,-5.0,0.5,1.10081,-0.081177,0.164205
-11.707,1.777715,9.0,-5.0,0.65,1.254489,-0.085529,0.188245
-11.707,1.777715,9.0,-5.0,0.72,1.373724,-0.088906,0.206898
-11.707,1.777715,9.0,-5.0,0.8,1.588882,-0.095,0.240556
-11.707,1.777715,9.0,0.0,0.3,0.99936,-0.078304,0.148334
-11.707,1.777715,9.0,0.0,0.5,1.10081,-0.081177,0.164205
-11.707,1.777715,9.0,0.0,0.65,1.254489,-0.085529,0.188245
-11.707,1.777715,9.0,0.0,0.72,1.373724,-0.088906,0.206898
-11.707,1.777715,9.0,0.0,0.8,1.588882,-0.095,0.240556
-11.707,1.777715,9.0,5.0,0.3,0.99936,-0.078304,0.148334
-11.707,1.777715,9.0,5.0,0.5,1.10081,-0.081177,0.164205
-11.707,1.777715,9.0,5.0,0.65,1.254489,-0.085529,0.188245
-11.707,1.777715,9.0,5.0,0.72,1.373724,-0.088906,0.206898
-11.707,1.777715,9.0,5.0,0.8,1.588882,-0.095,0.240556
-11.707,1.777715,9.0,10.0,0.3,0.99936,-0.078304,0.148334
-11.707,1.777715,9.0,10.0,0.5,1.10081,-0.081177,0.164205
-11.707,1.777715,9.0,10.0,0.65,1.254489,-0.085529,0.188245
-11.707,1.777715,9.0,10.0,0.72,1.373724,-0.088906,0.206898
-11.707,1.777715,9.0,10.0,0.8,1.588882,-0.095,0.240556
-11.707,1.777715,12.0,-10.0,0.3,1.271913,-0.087738,0.256446
-11.707,1.777715,12.0,-10.0,0.5,1.401031,-0.091569,0.283291
-11.707,1.777715,12.0,-10.0,0.65,1.596622,-0.097373,0.323956
-11.707,1.777715,12.0,-10.0,0.72,1.748377,-0.101875,0.355508
-11.707,1.777715,12.0,-10.0,0.8,2.022213,-0.11,0.412442
-11.707,1.777715,12.0,-5.0,0.3,1.271913,-0.087738,0.256446
-11.707,1.777715,12.0,-5.0,0.5,1.401031,-0.091569,0.283291
-11.707,1.777715,12.0,-5.0,0.65,1.596622,-0.097373,0.323956
-11.707,1.777715,12.0,-5.0,0.72,1.748377,-0.101875,0.355508
-11.707,1.777715,12.0,-5.0,0.8,2.022213,-0.11,0.412442
-11.707,1.777715,12.0,0.0,0.3,1.271913,-0.087738,0.256446
-11.707,1.777715,12.0,0.0,0.5,1.401031,-0.091569,0.283291
-11.707,1.777715,12.0,0.0,0.65,1.596622,-0.097373,0.323956
